Device,Max Clients,Unique Clients,Buildings
Watanabe 114,1,8,Watanabe
Keller 218,2,12,Keller
Keller 103 LAVA,0,2,Keller
Watanabe 415,0,0,Watanabe
Watanabe 225 Hallway,1,10,Watanabe
Keller 219,3,36,Keller
Keller 401A Hallway,3,6,Keller
Keller 301A Hallway,2,7,Keller
Keller 413,3,7,Keller
Bilger Addition 205 Hallway,0,0,Bilger Addition
Krauss 012,5,16,Krauss
Bilger Addition 320 Hallway,1,7,Bilger Addition
Bilger Addition 302 Hallway,1,27,Bilger Addition
Krauss 114,2,10,Krauss
Bilger Addition 508,2,4,Bilger Addition
Krauss Annex 19 Rm 2,1,5,Krauss
Bilger Addition 115 Hallway,4,16,Bilger Addition
Krauss 111,1,11,Krauss
Krauss 115,2,6,Krauss
Bilger Addition 419 Hallway,1,6,Bilger Addition
Krauss Annex 19 Rm 5,0,4,Krauss
Bilger Addition 116 Hallway,1,8,Bilger Addition
Bilger Addition 418 Hallway,2,5,Bilger Addition
Bilger Addition 209,0,0,Bilger Addition
Bilger Hall 150 Makai,1,6,Bilger Hall
Bilger Hall 104,1,35,Bilger Hall
Bilger Addition 102 Hallway,2,20,Bilger Addition
Bilger Addition 317,4,8,Bilger Addition
Krauss Annex U Rm 1,10,146,Krauss
Bilger Addition 307 Hallway,2,7,Bilger Addition
Bilger Addition 402 Hallway,1,17,Bilger Addition
Bilger Addition 511,3,3,Bilger Addition
Bilger Addition 407 Hallway,1,8,Bilger Addition
Krauss 101 (Outside 101D),1,6,Krauss
Krauss 118,4,13,Krauss
Krauss 102C,2,70,Krauss
Krauss 113 Conference Room,0,4,Krauss
Krauss 102D,1,8,Krauss
Burns 4020,3,3,Burns
Kennedy 104 Hallway,3,7,Kennedy
Kennedy 204,1,2,Kennedy
Kennedy Mezzanine,3,5,Kennedy
Kennedy 111 Hallway,1,2,Kennedy
Kennedy Theatre Box Office (rm 207),1,5,Kennedy
Kennedy Landing Outside 404,5,8,Kennedy
Student Health 103 Hallway,5,14,Student Health
Student Health 154 Hallway,5,14,Student Health
Student Health 108,5,19,Student Health
Student Health 146,3,8,Student Health
Kennedy 209 Makai,2,8,Kennedy
Kennedy 210B,2,6,Kennedy
Student Health 122 Hallway,5,23,Student Health
Student Health 114 Hallway,3,6,Student Health
Student Health 111 Hallway,1,5,Student Health
Student Health 136 Hallway,4,23,Student Health
Building 37 Ewa,1,13,Building 37
Building 37 DH,1,18,Building 37
Parking Kiosk EWC,2,40,Entrance Kiosks
MSB 434 Hallway,1,3,Marine Science Building
MSB 312,0,0,Marine Science Building
MSB 102,0,2,Marine Science Building
MSB 317C Hallway,0,7,Marine Science Building
MSB 114 DH Makai,0,0,Marine Science Building
MSB 113,1,3,Marine Science Building
MSB 229 Hallway,0,6,Marine Science Building
MSB 401,0,2,Marine Science Building
MSB 617 Hallway,0,0,Marine Science Building
MSB 414 Hallway,1,1,Marine Science Building
MSB 532 Hallway,2,6,Marine Science Building
MSB 620 Hallway,0,0,Marine Science Building
MSB 100 Hallway,1,12,Marine Science Building
MSB 428 Hallway,4,6,Marine Science Building
MSB 100 DH Makai,0,0,Marine Science Building
MSB 114 Ewa Mauka,0,0,Marine Science Building
MSB 513 Hallway,1,3,Marine Science Building
MSB 301 Hallway,1,4,Marine Science Building
MSB 502,1,4,Marine Science Building
MSB 303,0,3,Marine Science Building
MSB 422,1,1,Marine Science Building
MSB 421 Hallway,3,3,Marine Science Building
MSB 227,1,2,Marine Science Building
MSB 507 Hallway,3,3,Marine Science Building
MSB 307,0,1,Marine Science Building
MSB 212 Hallway,0,0,Marine Science Building
MSB 100 DH Mauka,1,1,Marine Science Building
MSB 626 Hallway,4,4,Marine Science Building
MSB 603 Hallway,2,3,Marine Science Building
MSB 631 Hallway,3,3,Marine Science Building
MSB 205,5,9,Marine Science Building
MSB 315,0,1,Marine Science Building
MSB 522 Hallway,3,6,Marine Science Building
Art 127 Tempo,0,3,Art
Art 103,1,1,Art
MSB 405,2,5,Marine Science Building
MSB 100 Ewa Makai,0,0,Marine Science Building
MSB 114 DH Mauka,0,0,Marine Science Building
Art 331,2,4,Art
MSB 211,1,7,Marine Science Building
MSB 411 Hallway,5,8,Marine Science Building
Art 330,1,3,Art
MSB 519 Hallway,0,0,Marine Science Building
Art 132 Mauka DH,1,1,Art
MSB 430 Hallway,2,2,Marine Science Building
MSB 425 Hallway,1,3,Marine Science Building
MSB 305 Hallway,0,2,Marine Science Building
MSB 316,2,6,Marine Science Building
Art 101 Ewa,2,18,Art
MSB 606 Hallway,3,5,Marine Science Building
MSB 110,0,0,Marine Science Building
Art 207,1,1,Art
MSB 500A,4,7,Marine Science Building
MSB 314,1,0,Marine Science Building
MSB 401 Hallway,1,5,Marine Science Building
MSB 108,0,1,Marine Science Building
MSB 528 Hallway,3,3,Marine Science Building
Art 341,0,2,Art
Art 337,0,0,Art
MSB 419 Hallway,1,4,Marine Science Building
Art 350,3,17,Art
MSB 200,3,6,Marine Science Building
MSB 404,3,3,Marine Science Building
Art 365,0,0,Art
Art 343,0,11,Art
Art 302,0,1,Art
MSB 107,1,3,Marine Science Building
Art 363,1,2,Art
MSB 218 Hallway,4,6,Marine Science Building
MSB 207 Hallway,2,4,Marine Science Building
MSB 633 Hallway,0,0,Marine Science Building
MSB 203,1,6,Marine Science Building
MSB 515 Hallway,0,0,Marine Science Building
MSB 325 Hallway,2,3,Marine Science Building
MSB 604,0,0,Marine Science Building
MSB 322 Hallway,1,2,Marine Science Building
MSB 612 Hallway,2,3,Marine Science Building
MSB 205C Hallway,1,6,Marine Science Building
Art 143,4,30,Art
Art 121,3,4,Art
Art 119,0,7,Art
Art 142,4,27,Art
Art 325,1,8,Art
Art 101,0,4,Art
Art 223,4,19,Art
Art 366,1,3,Art
Art 112,0,0,Art
Art 328,1,12,Art
Art 301,2,4,Art
Art 201 Hallway,1,5,Art
Art 306,1,4,Art
Art 125 Tempo,1,9,Art
Art 335,0,0,Art
Art 373,5,65,Art
Art 213,1,2,Art
Art 141,1,30,Art
Art 357,1,2,Art
Art 336,1,3,Art
Art 360,0,7,Art
Art 316,0,1,Art
Art 214,2,20,Art
Art 214 CA,1,1,Art
Art 303,1,3,Art
Art 132 Makai DH,0,0,Art
Art 137,1,46,Art
Art 321,2,42,Art
Art 218,0,0,Art
Art 215,0,2,Art
Art 322,1,28,Art
Art 370,1,5,Art
Art 346,1,12,Art
Art 114,0,0,Art
Art 311,2,5,Art
Art 331T,2,29,Art
Art 364,0,2,Art
Art 204,1,5,Art
Art 355,1,6,Art
Art 132 Mauka,0,0,Art
Art 132 Makai,1,9,Art
Art 144,1,5,Art
Art 103C,0,0,Art
Art 210,1,3,Art
Art 339,1,5,Art
Art 134,1,6,Art
Art 205 Hallway,2,3,Art
Art 314,2,26,Art
Art 110,0,4,Art
Art 119A,2,31,Art
Sakamaki D301 Hallway,1,2,Sakamaki
Sakamaki B401 Hallway,0,6,Sakamaki
Sakamaki C301,0,1,Sakamaki
Sakamaki A104,2,21,Sakamaki
Sakamaki A300,0,1,Sakamaki
Sakamaki A102,0,7,Sakamaki
Sakamaki D306 Hallway,3,4,Sakamaki
Sakamaki C103,1,10,Sakamaki
Sakamaki C204B,4,17,Sakamaki
Sakamaki B309,2,2,Sakamaki
Sakamaki BET,1,3,Sakamaki
Sakamaki B211,0,0,Sakamaki
Sakamaki A415 Hallway,2,3,Sakamaki
Sakamaki D202H Hallway,0,6,Sakamaki
Sakamaki A201 Hallway,0,0,Sakamaki
Sakamaki D400 Hallway,4,6,Sakamaki
Sakamaki C308,0,5,Sakamaki
Sakamaki A311 Hallway,0,2,Sakamaki
Sakamaki A101,0,10,Sakamaki
Sakamaki A407 Hallway,0,2,Sakamaki
Sakamaki D101 Makai,1,13,Sakamaki
Sakamaki C102,0,12,Sakamaki
Sakamaki B416A Hallway,0,2,Sakamaki
Sakamaki D202C Hallway,2,5,Sakamaki
Sakamaki C407 Hallway,3,4,Sakamaki
Sakamaki D400A,4,6,Sakamaki
Sakamaki C400 Hallway,2,2,Sakamaki
Sakamaki B201 Hallway,2,4,Sakamaki
Sakamaki B102,1,11,Sakamaki
Sakamaki D303 Hallway,2,7,Sakamaki
Sakamaki B414,0,0,Sakamaki
Sakamaki B104,0,14,Sakamaki
Sakamaki B305 Hallway,3,4,Sakamaki
Sakamaki D101 Mauka,1,16,Sakamaki
Sakamaki B308,1,5,Sakamaki
Sakamaki D102,1,11,Sakamaki
Sakamaki C204A,0,1,Sakamaki
Sakamaki A206 Hallway,0,0,Sakamaki
Sakamaki B211 Hallway,1,2,Sakamaki
Sakamaki B301,1,23,Sakamaki
Sakamaki C400,5,7,Sakamaki
Sakamaki C101,1,19,Sakamaki
Sakamaki C203,0,1,Sakamaki
Sakamaki C202,0,1,Sakamaki
Sakamaki B103,0,8,Sakamaki
Sakamaki A204 Hallway,2,7,Sakamaki
Sakamaki A411,2,6,Sakamaki
Sakamaki B101,3,30,Sakamaki
Sakamaki D103,2,23,Sakamaki
Sakamaki C305 Hallway,2,3,Sakamaki
Sakamaki C204E,2,11,Sakamaki
Sakamaki D414,0,9,Sakamaki
Sakamaki D201,1,3,Sakamaki
Sakamaki C201,0,3,Sakamaki
Sakamaki A103,2,12,Sakamaki
POST 602,1,3,POST
POST 537,0,2,POST
POST 201,2,7,POST
POST 011 Hallway,0,3,POST
POST 723,1,1,POST
POST 311,3,8,POST
POST 820,2,4,POST
POST 413 Hallway,1,3,POST
POST 314,2,3,POST
POST 105F,6,14,POST
POST 203,1,5,POST
POST 544,0,5,POST
POST 028,3,7,POST
POST 126 Makai,1,6,POST
POST 013 Hallway,2,4,POST
POST 406C Hallway,3,10,POST
POST 109 Mauka,0,2,POST
POST 521,0,2,POST
POST 609,2,3,POST
POST 121,2,8,POST
POST 703,0,0,POST
POST 205,6,7,POST
POST 105B,7,14,POST
POST 606,1,3,POST
POST 612,1,3,POST
POST 406H Hallway,2,5,POST
POST 814,4,4,POST
POST 702 Hallway,1,3,POST
POST 517,0,2,POST
POST 318B,0,1,POST
POST 807B,3,3,POST
POST 305,5,10,POST
POST 708 Hallway,0,1,POST
POST 316,0,6,POST
POST 805 Hallway,1,2,POST
POST 708,0,1,POST
POST 617,1,4,POST
POST 524,0,1,POST
POST 401A,3,5,POST
POST 412C Hallway,1,3,POST
POST 630A,0,2,POST
POST 325,3,6,POST
POST 810 Hallway,1,2,POST
POST 720 Hallway,5,7,POST
POST 733,2,4,POST
POST 813 Hallway,2,2,POST
POST 2nd Fl Foyer,1,18,POST
POST 414,5,22,POST
POST BET,0,1,POST
POST 303,2,7,POST
POST 418,1,1,POST
POST 406E,1,1,POST
POST 427,10,16,POST
POST 214,3,9,POST
POST 823,2,4,POST
POST 401,0,6,POST
POST 512,1,4,POST
POST 801,3,5,POST
Art 124 Hallway,4,6,Art
POST 535,1,2,POST
POST 207G,10,16,POST
POST 409D,2,3,POST
POST 028B,5,8,POST
POST 615,2,3,POST
POST 505,1,6,POST
POST 109 Makai,1,4,POST
POST 501,1,6,POST
POST 819,1,2,POST
POST 515A Hallway,0,4,POST
POST 509,5,8,POST
POST 319,1,6,POST
POST 409G Hallway,2,3,POST
POST 207C,4,7,POST
POST 112A,1,4,POST
POST 103,3,8,POST
POST 126 Mauka,1,13,POST
POST 714 Hallway,4,6,POST
POST 413,1,1,POST
POST 802,0,1,POST
POST 842,1,1,POST
POST 134,4,9,POST
POST 409B Hallway,3,5,POST
POST 208,1,5,POST
POST 415,3,8,POST
POST 601,1,2,POST
POST 127 Mauka,0,7,POST
POST 818,0,0,POST
POST 706,0,3,POST
POST 613 Hallway,2,3,POST
POST 302,3,7,POST
POST 816,2,3,POST
POST 037,1,4,POST
POST 003,2,7,POST
POST 318A,6,8,POST
POST 619F,1,2,POST
POST 127 Makai,1,21,POST
POST 621A,2,2,POST
ITC 301 Cubicle 322,2,4,ITC
ITC 101 Cubicle 111,6,24,ITC
Life Science 302,0,6,Life Science Building
ITC 301G,3,8,ITC
Life Science 223A,1,1,Life Science Building
ITC 105B Conference,4,5,ITC
Life Science 316,1,4,Life Science Building
Life Science 115C,0,5,Life Science Building
Life Science 115B,1,2,Life Science Building
Life Science 211,4,18,Life Science Building
Life Science 214,0,18,Life Science Building
Life Science 226A,1,1,Life Science Building
Life Science 203E,0,3,Life Science Building
Life Science 103,1,15,Life Science Building
Life Science 301 Makai,1,4,Life Science Building
Life Science 104,2,3,Life Science Building
Life Science 102,1,3,Life Science Building
Life Science 217,1,4,Life Science Building
Life Science 318,1,3,Life Science Building
Life Science 216,2,12,Life Science Building
ITC 501K,6,7,ITC
Life Science 320A,2,4,Life Science Building
Life Science 303,0,2,Life Science Building
Life Science 204A,3,3,Life Science Building
Life Science 100NR,1,10,Life Science Building
Life Science 218,4,5,Life Science Building
Life Science 226B,1,9,Life Science Building
Life Science 100TE,1,12,Life Science Building
Life Science 314 Mauka,2,5,Life Science Building
Life Science 302B,1,2,Life Science Building
ITC 501A,6,10,ITC
ITC 501 Cubicle 522,2,4,ITC
Keller 402,0,1,Keller
Keller 303 Ewa,1,7,Keller
Keller 214,3,12,Keller
Keller 213,1,9,Keller
Keller 304A Hallway,1,5,Keller
Keller 304 Hallway,1,2,Keller
Keller 313,0,9,Keller
Keller 301,2,22,Keller
Keller 302 DH,1,10,Keller
Keller 302 Ewa,0,6,Keller
Keller 303 DH,1,19,Keller
Keller 403 Hallway,1,6,Keller
Keller 314,1,8,Keller
Keller 414,0,1,Keller
Keller 403,1,3,Keller
Keller 401,1,8,Keller
Bilger Hall 319 Makai,1,5,Bilger Hall
Bilger Hall 309,3,24,Bilger Hall
Keller 102 Makai Ewa,1,3,Keller
Keller 102 Makai DH,1,1,Keller
Keller 102 Mauka,0,4,Keller
Keller 201,1,4,Keller
Keller 404,2,8,Keller
Bilger Hall 335 Mauka DH,1,4,Bilger Hall
Bilger Hall 201,1,19,Bilger Hall
Keller 406,1,5,Keller
Bilger Hall 212,5,13,Bilger Hall
Bilger Hall 337,0,0,Bilger Hall
Keller 209,2,7,Keller
Bilger Hall 314,3,11,Bilger Hall
Bilger Hall 239 Hallway,6,13,Bilger Hall
Keller 203,2,58,Keller
Bilger Hall 335 Mauka Ewa,0,4,Bilger Hall
Keller 103 Vault,0,3,Keller
Keller 204,4,8,Keller
Bilger Hall 341A,0,1,Bilger Hall
Bilger Hall 152 Ewa Mauka,1,4,Bilger Hall
Bilger Hall 116,2,8,Bilger Hall
Bilger Hall 150 Ewa,1,5,Bilger Hall
Bilger Hall 112,1,18,Bilger Hall
Bilger Hall 311A,2,6,Bilger Hall
Bilger Hall 335 Makai Ewa,2,5,Bilger Hall
Bilger Addition 217 Hallway,2,5,Bilger Addition
Krauss 101B Hallway,2,13,Krauss
Bilger Hall 207,1,6,Bilger Hall
Bilger Addition 103 Hallway,2,6,Bilger Addition
Bilger Addition 105 Hallway,1,13,Bilger Addition
Bilger Addition 405 Hallway,1,8,Bilger Addition
Bilger Hall 152 DH Mauka,2,8,Bilger Hall
Bilger Hall 235 Hallway,2,11,Bilger Hall
Bilger Hall 107,1,6,Bilger Hall
Bilger Hall 150 Mauka,1,4,Bilger Hall
Bilger Hall 335 Makai DH,1,3,Bilger Hall
Krauss 014,0,2,Krauss
Bilger Hall 152 DH Makai,0,2,Bilger Hall
Bilger Hall 214,0,1,Bilger Hall
Krauss 120,0,5,Krauss
Bilger Hall 247 Hallway,1,1,Bilger Hall
Bilger Hall 319 Mauka,2,4,Bilger Hall
Krauss 023,3,5,Krauss
Bilger Hall 321,3,13,Bilger Hall
Bilger Hall 205,1,6,Bilger Hall
Bilger Hall 251,1,7,Bilger Hall
Krauss 011,0,2,Krauss
Krauss 002 Gallery,0,8,Krauss
Bilger Addition 214 Hallway,1,33,Bilger Addition
Bilger Hall 152 Ewa Makai,0,1,Bilger Hall
Krauss 004A,4,58,Krauss
Bilger Hall 303 Hallway,4,29,Bilger Hall
Krauss 110,1,22,Krauss
Bilger Hall 301,1,1,Bilger Hall
Bilger Addition 303 Hallway,4,7,Bilger Addition
Krauss 101J Hallway,0,5,Krauss
Bilger Hall 202,1,9,Bilger Hall
Bilger Hall 338,0,8,Bilger Hall
Bilger Hall 341,0,0,Bilger Hall
Krauss 001,0,12,Krauss
Bilger Addition 001 Hallway,0,0,Bilger Addition
Bilger Addition 211 Hallway,1,21,Bilger Addition
Bilger Hall 245 Hallway,3,3,Bilger Hall
Bilger Addition 416 Hallway,3,9,Bilger Addition
Bilger Addition 118 Hallway,1,15,Bilger Addition
Bilger Hall 119,3,9,Bilger Hall
Bilger Addition 206 Hallway,0,8,Bilger Addition
Krauss 017A Hallway,1,2,Krauss
Bilger Addition 012,0,3,Bilger Addition
Krauss 003,3,39,Krauss
Krauss Annex U Rm 7,2,18,Krauss
Bilger Addition 004 Hallway,0,0,Bilger Addition
Life Science 227B,0,0,Life Science Building
Life Science 206,2,4,Life Science Building
Life Science 109C,0,10,Life Science Building
ITC 501G,4,10,ITC
ITC 501 Cubicle 503,1,3,ITC
ITC 501 Cubicle 531,2,4,ITC
ITC 301 Cubicle 331,1,2,ITC
ITC 115 Hallway,5,36,ITC
Life Science Exterior Makai-DH,5,65,Life Science Building
Life Science 201,0,15,Life Science Building
Life Science 101,2,7,Life Science Building
Life Science 115D,1,8,Life Science Building
Life Science 209A,6,52,Life Science Building
Life Science 227A,0,2,Life Science Building
Life Science 227D,0,2,Life Science Building
Life Science Exterior Makai-Ewa,2,37,Life Science Building
Life Science 225A,0,0,Life Science Building
Life Science 224,1,5,Life Science Building
Life Science 208,4,13,Life Science Building
Life Science 109B,0,3,Life Science Building
Life Science 221,5,8,Life Science Building
Life Science 313,3,27,Life Science Building
Life Science 318A,2,3,Life Science Building
ITC 103 Cubicle 1-SW5,5,12,ITC
Life Science 322,4,8,Life Science Building
Life Science 311,1,15,Life Science Building
Life Science 108,1,9,Life Science Building
Life Science 319B,0,2,Life Science Building
Life Science 114,7,11,Life Science Building
ITC 601 Cubicle 636,3,3,ITC
Life Science 305,4,11,Life Science Building
Life Science 322A,3,6,Life Science Building
Life Science 201A,0,0,Life Science Building
Life Science Exterior Makai-Middle,1,32,Life Science Building
ITC 601A,0,1,ITC
ITC 601F,2,5,ITC
Life Science 301 Mauka,0,2,Life Science Building
Life Science 202,1,3,Life Science Building
ITC 401 Cubicle 425,1,2,ITC
Life Science Exterior Ewa,6,87,Life Science Building
Life Science 205,0,3,Life Science Building
Life Science 109D,1,8,Life Science Building
Life Science 308,2,17,Life Science Building
Life Science 314 Makai,6,8,Life Science Building
Life Science 110,4,10,Life Science Building
Life Science 320,2,9,Life Science Building
Life Science 227G,0,8,Life Science Building
Life Science 319,1,5,Life Science Building
Life Science 115A,1,6,Life Science Building
Life Science 105,3,6,Life Science Building
Life Science 303A,1,3,Life Science Building
Life Science 101E,1,3,Life Science Building
Life Science 113,0,1,Life Science Building
Life Science 203B,1,3,Life Science Building
Life Science 112,0,4,Life Science Building
ITC 501 Cubicle 516,2,2,ITC
ITC 501C,2,11,ITC
ITC 108 Training,4,14,ITC
ITC 105A Conference,3,9,ITC
ITC DC-N13,4,10,ITC
ITC 601C,5,9,ITC
ITC DC-D08,1,1,ITC
ITC 101 Cubicle 114,7,23,ITC
ITC 601 Cubicle 625,0,2,ITC
ITC 401 Cubicle 402,2,3,ITC
ITC DC-J01,0,0,ITC
ITC 401C,2,8,ITC
ITC 301D,5,15,ITC
ITC 301 Cubicle 337,1,2,ITC
ITC 104 Project Room,2,17,ITC
ITC DC-F19,1,1,ITC
ITC 030,0,0,ITC
ITC 301 Cubicle 3-SW3,6,10,ITC
ITC 210,8,16,ITC
ITC 301H,2,3,ITC
ITC 301K,2,5,ITC
ITC 401F,1,13,ITC
ITC DC-C01,1,2,ITC
ITC 410,1,7,ITC
ITC 401K,5,11,ITC
ITC 401J,1,7,ITC
ITC 301 Cubicle 307,10,10,ITC
Auxilliary Svcs 110,4,14,Auxiliary Services
Kahawai FD,3,16,Hale Kahawai
Music 108,1,1,Music
Sinclair ACM B08A,0,3,Sinclair Library
Sinclair ACM B03 Mauka,1,5,Sinclair Library
Wainani I 451B,1,3,Wainani
Frear 310,3,3,Frear
Frear Hall 1226A,0,0,Frear
Wainani F 1105B,8,14,Wainani
QLC Outside Lanai,5,13,QLCSS
Frear Hall D 608B,2,3,Frear
Frear Hall D 910 A,0,0,Frear
Wainani G 106L,0,1,Wainani
LabSchPortableN1A,0,0,UH Lab School Portables (N)
LabSchPortableN4 DH,0,6,UH Lab School Portables (N)
LabSchPortableN4 Ewa,0,1,UH Lab School Portables (N)
LabSchPortableN3 Ewa,0,0,UH Lab School Portables (N)
LabSchPortableN2B,0,1,UH Lab School Portables (N)
LabSchPortableN1B,0,1,UH Lab School Portables (N)
LabSchPortableN2A,0,2,UH Lab School Portables (N)
LabSchPortableN3 DH,0,1,UH Lab School Portables (N)
Frear Hall D 1101C,0,0,Frear
thrift shop,1,6,Thrift Shop
FREAR D 707C,0,0,Frear
FREAR D 401C,3,4,Frear
FREAR D 901C,0,0,Frear
Wainani H 361B1,0,0,Wainani
Music Orvis Mauka,3,9,Music
Music Orvis Lobby,0,1,Music
Law Clinical 204,0,0,Law School
Law Clinical 2ndFL Elevator,0,2,Law School
Law Clinical Ewa Outdoor,2,55,Law School
Law Clinical 207,2,2,Law School
Law Clinical 204 Hallway,0,0,Law School
Law Clinical 206,2,2,Law School
Law Clinical 207D,0,0,Law School
Law Clinical 208 Hallway,0,0,Law School
Law Clinical Bridge Outdoor,2,21,Law School
Law Clinical 100 reception,2,3,Law School
Law Clinical 105,1,2,Law School
Law Clinical 107,0,0,Law School
Law Clinical 106 DH,0,1,Law School
Law Clinical 108,1,2,Law School
Law Clinical 106 Ewa,1,1,Law School
Law Clinical 104,0,0,Law School
Wainani G 210,0,5,Wainani
Sinclair B20 Hallway,3,6,Sinclair Library
Sinclair B18 Hallway,2,8,Sinclair Library
Sinclair B31 Hallway,6,9,Sinclair Library
Sinclair B10 Hallway,6,12,Sinclair Library
Sinclair B32 Hallway,3,9,Sinclair Library
Sinclair B23 Hallway,2,3,Sinclair Library
Wainani H 151,0,0,Wainani
Wainani G 211,1,3,Wainani
Wainani I 354,1,4,Wainani
Wainani I 1453,4,8,Wainani
Wainani F 1102,5,12,Wainani
Wainani H 359,0,0,Wainani
Wainani I 253,1,7,Wainani
Wainani I 1054,3,5,Wainani
Wainani I 753,0,4,Wainani
Wainani F 805,4,11,Wainani
Wainani I 755,0,0,Wainani
Wainani I 654,5,6,Wainani
Wainani I 752,0,0,Wainani
Wainani I 751,0,1,Wainani
Wainani I 555,1,2,Wainani
Wainani I 552,2,2,Wainani
Wainani I 653,1,3,Wainani
Wainani I 553,1,5,Wainani
Wainani I 554,5,7,Wainani
Wainani I 651,1,4,Wainani
Wainani I 655,0,0,Wainani
Wainani I 551,1,3,Wainani
Wainani I 754,2,4,Wainani
Wainani I 652,0,0,Wainani
Wainani I 252,1,3,Wainani
Wainani I 355,1,11,Wainani
Wainani I 254,2,12,Wainani
Wainani I 251,1,5,Wainani
Wainani I 352,0,1,Wainani
Wainani I 353,3,9,Wainani
Wainani I 351,0,5,Wainani
Wainani I 255,1,19,Wainani
Wainani I 453,1,3,Wainani
Wainani I 455,0,4,Wainani
Wainani I 452,0,0,Wainani
Wainani I 1055,3,4,Wainani
Wainani I 1052,3,4,Wainani
Wainani I 955,2,4,Wainani
Wainani I 855,1,2,Wainani
Wainani I 851,2,2,Wainani
Wainani I 954,2,4,Wainani
Wainani I 854,3,3,Wainani
Wainani I 1051,3,5,Wainani
Wainani I 852,1,1,Wainani
Wainani I 952,3,4,Wainani
Wainani I 951,1,1,Wainani
Wainani I 853,1,2,Wainani
Wainani I 953,4,12,Wainani
Wainani I 1053,7,10,Wainani
Wainani I 1154,4,7,Wainani
Wainani I 1254,3,5,Wainani
Wainani I 1451,3,5,Wainani
Wainani I 1155,4,8,Wainani
Wainani I 1151,4,6,Wainani
Wainani I 1152,5,15,Wainani
Wainani I 1253,6,17,Wainani
Wainani I 1255,6,13,Wainani
Wainani I 1455,5,10,Wainani
Wainani I 1452,9,15,Wainani
Wainani H 156,0,0,Wainani
Wainani H 153,0,0,Wainani
Wainani F 801,4,5,Wainani
Wainani F 803,4,6,Wainani
Wainani H 256,0,0,Wainani
Wainani H 255,0,1,Wainani
Wainani H 351,0,1,Wainani
Wainani I 1153,6,12,Wainani
Wainani H 260,3,4,Wainani
Wainani H 358,0,0,Wainani
Wainani H 252,0,0,Wainani
Wainani H 259,1,1,Wainani
Wainani H 354,1,2,Wainani
Wainani H 352,1,4,Wainani
Wainani H 362,2,3,Wainani
Wainani H 355,0,1,Wainani
Wainani H 155,0,0,Wainani
Wainani H 251,0,2,Wainani
Wainani H 152,0,0,Wainani
Wainani H 157,0,0,Wainani
Wainani I 1252,3,6,Wainani
Wainani H 357,0,0,Wainani
Wainani H 258,0,0,Wainani
Sakamaki A305 Hallway,1,8,Sakamaki
Sakamaki C104,5,29,Sakamaki
Sakamaki B414 Hallway,0,0,Sakamaki
Sakamaki B207 Hallway,0,0,Sakamaki
Wainani H 158,0,0,Wainani
Wainani H 257,0,0,Wainani
Wainani H 254,0,0,Wainani
Wainani I 1251,6,7,Wainani
Wainani H 253,1,2,Wainani
Wainani H 356,0,0,Wainani
Wainani H 360,0,0,Wainani
Wainani H 353,3,4,Wainani
Wainani H 361,0,0,Wainani
Wainani I 1454,6,7,Wainani
Wainani F 1403,7,15,Wainani
Wainani F 1405,9,22,Wainani
Wainani F 1203,5,8,Wainani
Wainani F 1204,2,3,Wainani
Wainani F 1201,5,6,Wainani
Wainani F 1205,2,11,Wainani
Wainani F 1401,3,6,Wainani
Wainani F 1104,3,4,Wainani
Wainani F 1202,5,8,Wainani
Wainani F 1103,12,17,Wainani
Wainani F 1101,7,9,Wainani
Wainani F 1404,4,5,Wainani
Wainani F 1501,5,5,Wainani
Wainani F 1502,6,7,Wainani
Wainani F 1503,4,6,Wainani
Wainani F 1402,4,7,Wainani
Wainani F 1504,1,3,Wainani
Wainani F 1505,6,25,Wainani
Wainani F 901,4,6,Wainani
Wainani F 902,3,7,Wainani
Wainani F 904,2,5,Wainani
Wainani F 1003,7,13,Wainani
Wainani F 1004,1,4,Wainani
Wainani F 1002,2,8,Wainani
Wainani F 802,6,9,Wainani
Wainani F 905,6,19,Wainani
Wainani F 1005,4,14,Wainani
Wainani F 804,4,8,Wainani
Wainani F 1001,6,9,Wainani
Wainani F 903,5,14,Wainani
Wainani F 701,5,5,Wainani
Wainani G203,2,3,Wainani
Wainani I 454,1,1,Wainani
Wainani G 301,0,2,Wainani
Wainani G 111,0,0,Wainani
Wainani G 312,0,0,Wainani
Wainani G 209,0,0,Wainani
Wainani G 206,1,4,Wainani
Wainani G 309,0,0,Wainani
Wainani G 308,0,0,Wainani
Wainani G 307,0,2,Wainani
Wainani G 205,0,0,Wainani
Wainani G 306,0,0,Wainani
Wainani G 208,0,4,Wainani
Wainani G 108,0,0,Wainani
Wainani G 305,0,1,Wainani
Wainani G 212,1,4,Wainani
Wainani G 207,0,0,Wainani
Wainani G 311,0,2,Wainani
Wainani G 202,2,3,Wainani
Wainani G 302,0,0,Wainani
Wainani G 304,0,0,Wainani
Wainani G 303,0,0,Wainani
Wainani G 310,0,1,Wainani
Wainani G 204,0,3,Wainani
Wainani G 201,1,3,Wainani
Wainani G 110,0,1,Wainani
Wainani G 105,1,2,Wainani
Wainani G 107,0,0,Wainani
Wainani G 109,0,0,Wainani
Athletics 247,0,2,Athletics
Sherman 101 Hallway,1,11,Sherman Laboratory
Sherman 242 Hallway,1,10,Sherman Laboratory
Sherman 123 Hallway,1,6,Sherman Laboratory
Hemenway 211,1,19,Hemenway Hall
