Device,Max Clients,Unique Clients,Buildings
Bilger Addition 405 Hallway,0,0,Bilger Addition
Bilger Hall 152 DH Mauka,1,1,Bilger Hall
Bilger Hall 235 Hallway,0,0,Bilger Hall
Bilger Hall 107,0,1,Bilger Hall
Bilger Hall 150 Mauka,0,1,Bilger Hall
Bilger Hall 335 Makai DH,0,0,Bilger Hall
Krauss 014,0,1,Krauss
Bilger Hall 152 DH Makai,0,0,Bilger Hall
Bilger Hall 214,0,0,Bilger Hall
Krauss 120,0,0,Krauss
Bilger Hall 247 Hallway,0,0,Bilger Hall
Bilger Hall 319 Mauka,0,0,Bilger Hall
Krauss 023,1,1,Krauss
Bilger Hall 321,0,0,Bilger Hall
Bilger Hall 205,0,0,Bilger Hall
Bilger Hall 251,0,0,Bilger Hall
Krauss 011,0,0,Krauss
Krauss 002 Gallery,0,0,Krauss
Bilger Addition 214 Hallway,0,5,Bilger Addition
Bilger Hall 152 Ewa Makai,0,0,Bilger Hall
Krauss 004A,1,1,Krauss
Bilger Hall 303 Hallway,1,1,Bilger Hall
Krauss 110,0,1,Krauss
Bilger Hall 301,0,0,Bilger Hall
Bilger Addition 303 Hallway,0,0,Bilger Addition
Krauss 101J Hallway,0,0,Krauss
Bilger Hall 202,0,0,Bilger Hall
Bilger Hall 338,0,0,Bilger Hall
Bilger Hall 341,0,0,Bilger Hall
Krauss 001,0,1,Krauss
Bilger Addition 001 Hallway,0,0,Bilger Addition
Bilger Addition 211 Hallway,1,2,Bilger Addition
Bilger Hall 245 Hallway,1,1,Bilger Hall
Bilger Addition 416 Hallway,0,2,Bilger Addition
Bilger Addition 118 Hallway,1,4,Bilger Addition
Bilger Hall 119,1,1,Bilger Hall
Bilger Addition 206 Hallway,0,1,Bilger Addition
Krauss 017A Hallway,0,0,Krauss
Bilger Addition 012,0,0,Bilger Addition
Krauss 003,0,0,Krauss
Krauss Annex U Rm 7,1,1,Krauss
Bilger Addition 004 Hallway,0,0,Bilger Addition
Bilger Addition 205 Hallway,0,0,Bilger Addition
Krauss 012,1,1,Krauss
Bilger Addition 320 Hallway,0,0,Bilger Addition
Bilger Addition 302 Hallway,1,2,Bilger Addition
Krauss 114,0,0,Krauss
Bilger Addition 508,1,1,Bilger Addition
Krauss Annex 19 Rm 2,0,0,Krauss
Bilger Addition 115 Hallway,4,8,Bilger Addition
Krauss 111,1,4,Krauss
Krauss 115,1,1,Krauss
Bilger Addition 419 Hallway,0,1,Bilger Addition
Krauss Annex 19 Rm 5,0,0,Krauss
Bilger Addition 116 Hallway,1,2,Bilger Addition
Bilger Addition 418 Hallway,1,1,Bilger Addition
Bilger Addition 209,0,0,Bilger Addition
Bilger Hall 150 Makai,0,0,Bilger Hall
Bilger Hall 104,0,2,Bilger Hall
Bilger Addition 102 Hallway,1,5,Bilger Addition
Bilger Addition 317,0,0,Bilger Addition
Krauss Annex U Rm 1,0,1,Krauss
Bilger Addition 307 Hallway,0,0,Bilger Addition
Bilger Addition 402 Hallway,0,1,Bilger Addition
Bilger Addition 511,1,1,Bilger Addition
Bilger Addition 407 Hallway,0,0,Bilger Addition
Krauss 101 (Outside 101D),0,0,Krauss
Krauss 118,1,2,Krauss
Krauss 102C,0,0,Krauss
Krauss 113 Conference Room,0,0,Krauss
Krauss 102D,0,0,Krauss
Burns 4020,0,0,Burns
Kennedy 104 Hallway,0,0,Kennedy
Kennedy 204,0,0,Kennedy
Kennedy Mezzanine,1,2,Kennedy
Kennedy 111 Hallway,0,0,Kennedy
Kennedy Theatre Box Office (rm 207),0,0,Kennedy
Kennedy Landing Outside 404,0,0,Kennedy
Student Health 103 Hallway,0,0,Student Health
Student Health 154 Hallway,1,2,Student Health
Student Health 108,0,0,Student Health
Student Health 146,0,0,Student Health
Kennedy 209 Makai,0,0,Kennedy
Kennedy 210B,1,1,Kennedy
Student Health 122 Hallway,1,3,Student Health
Student Health 114 Hallway,0,0,Student Health
Student Health 111 Hallway,0,0,Student Health
Student Health 136 Hallway,0,0,Student Health
Building 37 Ewa,0,0,Building 37
Building 37 DH,0,1,Building 37
Parking Kiosk EWC,0,2,Entrance Kiosks
MSB 434 Hallway,1,1,Marine Science Building
MSB 312,0,0,Marine Science Building
MSB 102,0,1,Marine Science Building
MSB 317C Hallway,0,0,Marine Science Building
MSB 114 DH Makai,0,0,Marine Science Building
MSB 113,0,0,Marine Science Building
MSB 229 Hallway,0,1,Marine Science Building
MSB 401,0,0,Marine Science Building
MSB 617 Hallway,0,0,Marine Science Building
MSB 414 Hallway,0,0,Marine Science Building
MSB 532 Hallway,1,1,Marine Science Building
MSB 620 Hallway,0,0,Marine Science Building
MSB 100 Hallway,1,2,Marine Science Building
MSB 428 Hallway,0,0,Marine Science Building
MSB 100 DH Makai,0,0,Marine Science Building
MSB 114 Ewa Mauka,0,0,Marine Science Building
MSB 513 Hallway,0,0,Marine Science Building
MSB 301 Hallway,0,0,Marine Science Building
MSB 502,0,0,Marine Science Building
MSB 303,0,0,Marine Science Building
MSB 422,0,0,Marine Science Building
MSB 421 Hallway,0,0,Marine Science Building
MSB 227,1,1,Marine Science Building
MSB 507 Hallway,0,0,Marine Science Building
MSB 307,0,0,Marine Science Building
MSB 212 Hallway,0,0,Marine Science Building
MSB 100 DH Mauka,1,1,Marine Science Building
MSB 626 Hallway,3,3,Marine Science Building
MSB 603 Hallway,2,2,Marine Science Building
MSB 631 Hallway,1,1,Marine Science Building
HIG 412,0,0,HIG
HIG 410A,0,0,HIG
HIG 135,0,0,HIG
HIG 305,0,0,HIG
HIG 211,0,0,HIG
HIG 413,0,0,HIG
HIG 432,1,1,HIG
HIG 232,0,0,HIG
Kuykendall 210 Hallway,0,0,Kuykendall
HIG 214,0,0,HIG
Kuykendall 415 Hallway,0,0,Kuykendall
HIG 336,0,0,HIG
Kuykendall 412 Hallway,1,1,Kuykendall
HIG 131C,1,1,HIG
HIG 210,0,0,HIG
Kuykendall 213,0,0,Kuykendall
Kuykendall 201A,1,1,Kuykendall
HIG 205,0,0,HIG
HIG P3,0,0,HIG
Kuykendall 521 Hallway,0,0,Kuykendall
Kuykendall 101 Ewa Mauka,0,0,Kuykendall
HIG 222,0,0,HIG
HIG 406,0,0,HIG
HIG 238,0,0,HIG
Kuykendall 316 Hallway,0,0,Kuykendall
Kuykendall 409 Hallway,0,0,Kuykendall
HIG 409D,0,0,HIG
HIG 411,2,2,HIG
HIG 107,0,1,HIG
HIG 105,0,0,HIG
HIG 418,0,0,HIG
Kuykendall 323 Hallway,0,0,Kuykendall
HIG 152 Ewa,0,0,HIG
HIG B005,0,0,HIG
HIG 215,0,0,HIG
HIG 110 Makai Ewa,0,0,HIG
HIG 206,0,1,HIG
HIG 416B,1,1,HIG
Kuykendall 225 Hallway,1,1,Kuykendall
HIG 409,0,0,HIG
HIG 115,2,2,HIG
HIG P5,1,1,HIG
Kuykendall 204,0,0,Kuykendall
HIG 404,0,0,HIG
Kuykendall 325 Hallway,0,0,Kuykendall
HIG 231,0,0,HIG
HIG 421,1,1,HIG
Kuykendall 207 Hallway,0,0,Kuykendall
HIG 133,0,2,HIG
MSB 205,1,1,Marine Science Building
MSB 315,0,0,Marine Science Building
MSB 522 Hallway,1,1,Marine Science Building
Art 127 Tempo,0,0,Art
Art 103,0,0,Art
MSB 405,0,0,Marine Science Building
MSB 100 Ewa Makai,0,0,Marine Science Building
MSB 114 DH Mauka,0,0,Marine Science Building
Art 331,0,0,Art
MSB 211,0,1,Marine Science Building
MSB 411 Hallway,2,2,Marine Science Building
Art 330,0,0,Art
MSB 519 Hallway,0,0,Marine Science Building
Art 132 Mauka DH,1,1,Art
MSB 430 Hallway,0,0,Marine Science Building
MSB 425 Hallway,1,1,Marine Science Building
MSB 305 Hallway,0,1,Marine Science Building
MSB 316,0,0,Marine Science Building
Art 101 Ewa,0,0,Art
MSB 606 Hallway,0,0,Marine Science Building
MSB 110,0,0,Marine Science Building
Art 207,0,0,Art
MSB 500A,1,1,Marine Science Building
MSB 314,0,0,Marine Science Building
MSB 401 Hallway,0,0,Marine Science Building
MSB 108,0,0,Marine Science Building
MSB 528 Hallway,0,0,Marine Science Building
Art 341,0,0,Art
Art 337,0,0,Art
MSB 419 Hallway,0,0,Marine Science Building
Art 350,1,1,Art
MSB 200,2,2,Marine Science Building
MSB 404,1,1,Marine Science Building
Art 365,0,0,Art
Art 343,0,1,Art
Art 302,0,0,Art
MSB 107,0,0,Marine Science Building
Art 363,0,0,Art
MSB 218 Hallway,0,0,Marine Science Building
MSB 207 Hallway,0,1,Marine Science Building
Art 218,0,0,Art
Art 215,0,0,Art
Art 322,0,0,Art
Art 370,0,0,Art
Art 346,1,1,Art
Art 114,0,0,Art
Art 311,0,0,Art
Art 331T,1,1,Art
Art 364,0,1,Art
Art 204,0,0,Art
Art 355,1,1,Art
Art 132 Mauka,0,0,Art
Art 132 Makai,0,0,Art
Art 144,0,0,Art
Art 103C,0,0,Art
Art 210,1,1,Art
Art 339,1,1,Art
Art 134,0,0,Art
Art 205 Hallway,0,0,Art
Art 314,0,0,Art
Art 110,0,0,Art
Art 119A,0,3,Art
Sakamaki D301 Hallway,0,1,Sakamaki
Sakamaki B401 Hallway,0,0,Sakamaki
Sakamaki C301,0,0,Sakamaki
Sakamaki A104,1,5,Sakamaki
Sakamaki A300,0,0,Sakamaki
Sakamaki A102,1,3,Sakamaki
Sakamaki D306 Hallway,2,2,Sakamaki
Sakamaki C103,1,1,Sakamaki
Sakamaki C204B,2,2,Sakamaki
Sakamaki B309,0,0,Sakamaki
Sakamaki BET,0,0,Sakamaki
Sakamaki B211,0,0,Sakamaki
Sakamaki A415 Hallway,0,0,Sakamaki
Sakamaki D202H Hallway,0,0,Sakamaki
Sakamaki A201 Hallway,0,0,Sakamaki
Sakamaki D400 Hallway,1,1,Sakamaki
Sakamaki C308,0,0,Sakamaki
Sakamaki A311 Hallway,0,0,Sakamaki
Sakamaki A101,0,1,Sakamaki
Sakamaki A407 Hallway,0,0,Sakamaki
Sakamaki D101 Makai,0,0,Sakamaki
Sakamaki C102,0,1,Sakamaki
Sakamaki B416A Hallway,0,0,Sakamaki
Sakamaki D202C Hallway,0,1,Sakamaki
Sakamaki C407 Hallway,2,2,Sakamaki
Sakamaki D400A,0,0,Sakamaki
Sakamaki C400 Hallway,1,1,Sakamaki
Sakamaki B201 Hallway,1,1,Sakamaki
Sakamaki B102,0,2,Sakamaki
Sakamaki D303 Hallway,1,1,Sakamaki
Sakamaki B414,0,0,Sakamaki
Sakamaki B104,0,1,Sakamaki
Sakamaki B305 Hallway,1,1,Sakamaki
Sakamaki D101 Mauka,0,1,Sakamaki
Sakamaki B308,0,0,Sakamaki
Sakamaki D102,1,1,Sakamaki
Sakamaki C204A,0,0,Sakamaki
Sakamaki A206 Hallway,0,0,Sakamaki
Sakamaki B211 Hallway,0,0,Sakamaki
Sakamaki A305 Hallway,2,2,Sakamaki
Sakamaki C104,0,1,Sakamaki
Sakamaki B414 Hallway,0,0,Sakamaki
Sakamaki B207 Hallway,0,0,Sakamaki
Sakamaki B301,0,2,Sakamaki
Sakamaki C400,0,0,Sakamaki
Sakamaki C101,0,1,Sakamaki
Sakamaki C203,0,0,Sakamaki
Sakamaki C202,1,1,Sakamaki
Sakamaki B103,0,0,Sakamaki
Sakamaki A204 Hallway,0,2,Sakamaki
Sakamaki A411,1,1,Sakamaki
Sakamaki B101,1,3,Sakamaki
Sakamaki D103,1,2,Sakamaki
Sakamaki C305 Hallway,0,0,Sakamaki
Sakamaki C204E,0,0,Sakamaki
Sakamaki D414,0,2,Sakamaki
Sakamaki D201,0,0,Sakamaki
Sakamaki C201,0,0,Sakamaki
Sakamaki A103,0,2,Sakamaki
POST 602,0,0,POST
POST 537,0,1,POST
POST 201,1,1,POST
POST 011 Hallway,0,0,POST
POST 723,0,0,POST
POST 311,0,0,POST
POST 820,1,1,POST
POST 413 Hallway,0,0,POST
POST 314,1,1,POST
POST 105F,5,5,POST
POST 203,0,0,POST
POST 544,0,0,POST
POST 028,1,1,POST
POST 126 Makai,5,6,POST
POST 013 Hallway,0,0,POST
POST 406C Hallway,1,1,POST
POST 109 Mauka,0,0,POST
POST 521,0,0,POST
POST 609,1,1,POST
POST 121,4,4,POST
POST 703,0,0,POST
POST 205,1,1,POST
POST 105B,2,2,POST
POST 606,0,0,POST
POST 612,0,0,POST
POST 406H Hallway,0,0,POST
POST 814,2,2,POST
POST 702 Hallway,0,0,POST
POST 517,0,0,POST
POST 318B,0,0,POST
POST 807B,1,1,POST
POST 305,3,3,POST
POST 708 Hallway,0,0,POST
POST 316,0,0,POST
POST 805 Hallway,0,0,POST
POST 708,0,0,POST
POST 617,1,2,POST
POST 524,0,0,POST
POST 401A,1,1,POST
POST 412C Hallway,1,1,POST
POST 630A,0,0,POST
POST 325,0,0,POST
POST 810 Hallway,1,1,POST
POST 720 Hallway,1,1,POST
POST 733,0,0,POST
POST 813 Hallway,0,0,POST
POST 2nd Fl Foyer,0,3,POST
POST 414,0,1,POST
POST BET,0,0,POST
POST 303,0,0,POST
POST 418,0,0,POST
POST 406E,0,0,POST
POST 427,1,1,POST
POST 214,1,2,POST
POST 823,1,1,POST
POST 401,0,0,POST
POST 512,0,0,POST
POST 801,1,1,POST
Art 124 Hallway,1,1,Art
POST 535,1,1,POST
POST 207G,4,5,POST
POST 409D,0,0,POST
POST 028B,2,2,POST
POST 615,0,1,POST
POST 505,1,1,POST
POST 109 Makai,0,0,POST
POST 501,0,0,POST
POST 819,1,1,POST
POST 515A Hallway,1,1,POST
POST 509,3,3,POST
POST 319,0,0,POST
POST 409G Hallway,1,1,POST
POST 207C,1,1,POST
POST 112A,0,0,POST
POST 103,0,0,POST
POST 126 Mauka,1,4,POST
POST 714 Hallway,2,2,POST
POST 413,1,1,POST
POST 802,0,0,POST
POST 842,1,1,POST
POST 134,1,3,POST
POST 409B Hallway,1,1,POST
POST 208,1,1,POST
POST 415,1,1,POST
POST 601,0,1,POST
POST 127 Mauka,1,1,POST
POST 818,1,1,POST
POST 706,0,0,POST
POST 613 Hallway,0,0,POST
POST 302,0,0,POST
POST 816,0,0,POST
POST 037,0,0,POST
POST 003,0,0,POST
POST 318A,1,1,POST
POST 619F,0,1,POST
Watanabe 205 Hallway,0,1,Watanabe
Watanabe 312 Hallway,1,1,Watanabe
PSB 314,0,0,Physical Science Building
Watanabe 306 Hallway,3,3,Watanabe
PSB 309A,0,0,Physical Science Building
Watanabe 113,0,0,Watanabe
PSB 312C,0,0,Physical Science Building
Watanabe 336 Hallway,1,1,Watanabe
PSB 208 Ewa,0,0,Physical Science Building
Watanabe 327 Hallway,1,2,Watanabe
PSB 311 Ewa Makai,0,0,Physical Science Building
Watanabe 416,0,0,Watanabe
Keller 206,0,1,Keller
Watanabe 428 Hallway,1,1,Watanabe
Keller 3rd Fl Lounge,1,2,Keller
Watanabe 114,0,3,Watanabe
POST 127 Makai,1,2,POST
POST 621A,0,1,POST
ITC 301 Cubicle 322,2,2,ITC
ITC 101 Cubicle 111,0,0,ITC
Life Science 302,0,0,Life Science Building
ITC 301G,1,1,ITC
Life Science 223A,0,0,Life Science Building
ITC 105B Conference,2,2,ITC
Life Science 316,0,0,Life Science Building
Life Science 115C,0,0,Life Science Building
Life Science 115B,0,0,Life Science Building
Life Science 211,1,2,Life Science Building
Life Science 214,0,1,Life Science Building
Life Science 226A,1,1,Life Science Building
Life Science 203E,0,0,Life Science Building
Life Science 103,0,0,Life Science Building
Life Science 301 Makai,0,0,Life Science Building
Life Science 104,0,0,Life Science Building
Life Science 102,0,0,Life Science Building
Life Science 217,0,0,Life Science Building
Life Science 318,0,0,Life Science Building
Life Science 216,0,1,Life Science Building
ITC 501K,4,4,ITC
Life Science 320A,0,0,Life Science Building
Life Science 303,0,0,Life Science Building
Life Science 204A,0,0,Life Science Building
Life Science 100NR,0,0,Life Science Building
Life Science 218,0,0,Life Science Building
Life Science 226B,0,0,Life Science Building
Life Science 100TE,0,0,Life Science Building
Life Science 314 Mauka,1,1,Life Science Building
Life Science 302B,0,0,Life Science Building
ITC 501A,0,0,ITC
ITC 501 Cubicle 522,0,0,ITC
Life Science 227B,0,0,Life Science Building
Life Science 206,0,0,Life Science Building
Life Science 109C,0,2,Life Science Building
ITC 501G,0,0,ITC
ITC 501 Cubicle 503,0,0,ITC
ITC 501 Cubicle 531,1,1,ITC
ITC 301H,1,1,ITC
ITC 301K,0,0,ITC
ITC 401F,0,1,ITC
ITC DC-C01,1,1,ITC
ITC 410,0,1,ITC
ITC 401K,0,0,ITC
ITC 401J,0,0,ITC
ITC 301 Cubicle 307,0,0,ITC
Auxilliary Svcs 110,1,2,Auxiliary Services
Kahawai FD,1,1,Hale Kahawai
Music 108,0,0,Music
Sinclair ACM B08A,1,1,Sinclair Library
Sinclair ACM B03 Mauka,0,0,Sinclair Library
Wainani I 451B,0,0,Wainani
Frear 310,2,2,Frear
Frear Hall 1226A,0,0,Frear
Wainani F 1105B,5,7,Wainani
QLC Outside Lanai,4,4,QLCSS
Frear Hall D 608B,2,2,Frear
Frear Hall D 910 A,0,0,Frear
Wainani G 106L,0,0,Wainani
LabSchPortableN1A,0,0,UH Lab School Portables (N)
LabSchPortableN4 DH,0,0,UH Lab School Portables (N)
LabSchPortableN4 Ewa,0,0,UH Lab School Portables (N)
LabSchPortableN3 Ewa,0,0,UH Lab School Portables (N)
LabSchPortableN2B,0,0,UH Lab School Portables (N)
LabSchPortableN1B,0,0,UH Lab School Portables (N)
LabSchPortableN2A,0,0,UH Lab School Portables (N)
LabSchPortableN3 DH,0,0,UH Lab School Portables (N)
Frear Hall D 1101C,0,0,Frear
thrift shop,0,0,Thrift Shop
FREAR D 707C,0,0,Frear
FREAR D 401C,1,2,Frear
FREAR D 901C,0,0,Frear
Wainani H 361B1,0,0,Wainani
Music Orvis Mauka,1,1,Music
Music Orvis Lobby,0,0,Music
Law Clinical 204,0,0,Law School
Law Clinical 2ndFL Elevator,0,0,Law School
Law Clinical Ewa Outdoor,1,4,Law School
Law Clinical 207,1,1,Law School
Law Clinical 204 Hallway,0,0,Law School
Law Clinical 206,1,1,Law School
Law Clinical 207D,0,0,Law School
Law Clinical 208 Hallway,0,0,Law School
Law Clinical Bridge Outdoor,0,1,Law School
Law Clinical 100 reception,1,1,Law School
Law Clinical 105,1,1,Law School
Law Clinical 107,0,0,Law School
Law Clinical 106 DH,0,0,Law School
Law Clinical 108,1,1,Law School
Law Clinical 106 Ewa,1,1,Law School
Law Clinical 104,0,0,Law School
Wainani G 210,0,0,Wainani
Sinclair B20 Hallway,0,1,Sinclair Library
Sinclair B18 Hallway,2,2,Sinclair Library
Sinclair B31 Hallway,0,0,Sinclair Library
Sinclair B10 Hallway,1,1,Sinclair Library
Sinclair B32 Hallway,0,0,Sinclair Library
Sinclair B23 Hallway,0,0,Sinclair Library
Wainani H 151,0,1,Wainani
Wainani G 211,1,1,Wainani
Wainani I 354,2,2,Wainani
Wainani I 1453,3,5,Wainani
Wainani F 1102,5,11,Wainani
Wainani H 359,0,0,Wainani
Wainani I 253,0,1,Wainani
Wainani I 1054,1,2,Wainani
Wainani I 753,0,0,Wainani
Wainani F 805,0,0,Wainani
Wainani I 755,0,0,Wainani
Wainani I 654,3,3,Wainani
Wainani I 752,3,4,Wainani
Wainani I 751,0,1,Wainani
Wainani I 555,0,0,Wainani
Wainani I 552,4,5,Wainani
Wainani I 653,0,0,Wainani
Wainani I 553,0,0,Wainani
Wainani I 554,1,2,Wainani
Wainani I 651,0,1,Wainani
Wainani I 655,0,0,Wainani
Wainani I 551,0,3,Wainani
Wainani I 754,2,3,Wainani
Wainani I 652,1,1,Wainani
Wainani I 252,1,4,Wainani
Wainani I 355,1,3,Wainani
Wainani I 254,1,2,Wainani
Wainani I 251,0,3,Wainani
Wainani I 352,1,1,Wainani
Wainani I 353,0,0,Wainani
Wainani I 351,0,3,Wainani
Wainani I 255,0,2,Wainani
Wainani I 453,0,0,Wainani
Wainani I 455,1,1,Wainani
Wainani I 452,1,3,Wainani
Wainani I 1055,2,2,Wainani
Wainani I 1052,3,3,Wainani
Wainani I 955,1,2,Wainani
Wainani I 855,0,0,Wainani
Wainani I 851,1,1,Wainani
Wainani I 954,1,1,Wainani
Wainani I 854,3,3,Wainani
Wainani I 1051,1,4,Wainani
Wainani I 852,2,2,Wainani
Wainani I 952,2,2,Wainani
Wainani I 951,0,1,Wainani
Wainani I 853,1,2,Wainani
Wainani I 953,2,4,Wainani
Wainani I 1053,4,5,Wainani
Wainani I 1154,2,2,Wainani
Wainani I 1254,1,1,Wainani
Wainani I 1451,6,8,Wainani
Wainani I 1155,1,1,Wainani
Wainani I 1151,2,2,Wainani
Wainani I 1152,4,4,Wainani
Wainani I 1253,5,6,Wainani
Wainani I 1255,4,4,Wainani
Wainani I 1455,3,3,Wainani
Wainani I 1452,4,4,Wainani
Wainani H 156,0,0,Wainani
Wainani H 153,0,0,Wainani
Wainani F 801,3,5,Wainani
Wainani F 803,2,3,Wainani
Wainani H 256,0,0,Wainani
Wainani H 255,0,1,Wainani
Wainani H 351,1,2,Wainani
Wainani I 1153,4,7,Wainani
Wainani H 260,1,1,Wainani
Wainani H 358,0,0,Wainani
Wainani H 252,0,0,Wainani
Wainani H 259,0,0,Wainani
Wainani H 354,0,2,Wainani
Wainani H 352,1,3,Wainani
Wainani H 362,0,0,Wainani
Wainani H 355,0,0,Wainani
Wainani H 155,0,0,Wainani
Wainani H 251,0,2,Wainani
Wainani H 152,0,0,Wainani
Wainani H 157,0,0,Wainani
Wainani I 1252,1,2,Wainani
Wainani H 357,0,0,Wainani
Wainani H 258,0,0,Wainani
Wainani H 158,0,1,Wainani
Wainani H 257,0,0,Wainani
Wainani H 254,0,0,Wainani
Wainani I 1251,2,2,Wainani
Wainani H 253,1,1,Wainani
Wainani H 356,0,1,Wainani
Wainani H 360,0,0,Wainani
Wainani H 353,2,2,Wainani
Wainani H 361,0,0,Wainani
Wainani I 1454,3,6,Wainani
Wainani F 1403,7,11,Wainani
Wainani F 1405,7,8,Wainani
Wainani F 1203,3,4,Wainani
Wainani F 1204,2,3,Wainani
Wainani F 1201,3,4,Wainani
Wainani F 1205,3,5,Wainani
Wainani F 1401,2,4,Wainani
Wainani F 1104,0,0,Wainani
Wainani F 1202,1,1,Wainani
Wainani F 1103,5,6,Wainani
Wainani F 1101,2,4,Wainani
Wainani F 1404,4,5,Wainani
Wainani F 1501,2,2,Wainani
Wainani F 1502,3,3,Wainani
Wainani F 1503,5,7,Wainani
Wainani F 1402,3,6,Wainani
Wainani F 1504,0,2,Wainani
Wainani F 1505,5,6,Wainani
Wainani F 901,1,1,Wainani
Wainani F 902,3,7,Wainani
Wainani F 904,0,1,Wainani
Wainani F 1003,6,6,Wainani
Wainani F 1004,0,0,Wainani
Wainani F 1002,1,2,Wainani
MSB 633 Hallway,0,0,Marine Science Building
MSB 203,1,1,Marine Science Building
MSB 515 Hallway,0,0,Marine Science Building
MSB 325 Hallway,1,1,Marine Science Building
MSB 604,0,0,Marine Science Building
MSB 322 Hallway,0,0,Marine Science Building
MSB 612 Hallway,1,1,Marine Science Building
MSB 205C Hallway,1,3,Marine Science Building
Art 143,1,1,Art
Art 121,0,0,Art
Art 119,0,1,Art
Art 142,1,1,Art
Art 325,0,0,Art
Art 101,0,0,Art
Art 223,0,0,Art
Art 366,0,0,Art
Art 112,0,0,Art
Art 328,0,0,Art
Art 301,0,0,Art
Art 201 Hallway,0,0,Art
Art 306,0,0,Art
Art 125 Tempo,0,0,Art
Art 335,0,0,Art
Art 373,0,0,Art
Art 213,0,0,Art
Art 141,0,0,Art
Art 357,0,0,Art
Art 336,1,1,Art
Art 360,0,0,Art
Art 316,0,0,Art
Art 214,0,0,Art
Art 214 CA,0,0,Art
Art 303,0,0,Art
Art 132 Makai DH,0,0,Art
Art 137,0,0,Art
Art 321,0,0,Art
Wainani F 802,2,3,Wainani
Wainani F 905,5,5,Wainani
Wainani F 1005,1,2,Wainani
Wainani F 804,0,0,Wainani
Wainani F 1001,3,4,Wainani
Wainani F 903,3,6,Wainani
Wainani F 701,1,1,Wainani
Wainani G203,0,0,Wainani
Wainani I 454,1,1,Wainani
Wainani G 301,3,3,Wainani
Wainani G 111,0,0,Wainani
Wainani G 312,0,0,Wainani
Wainani G 209,0,0,Wainani
Wainani G 206,0,0,Wainani
Wainani G 309,0,0,Wainani
Wainani G 308,0,0,Wainani
Wainani G 307,0,0,Wainani
Wainani G 205,0,0,Wainani
Wainani G 306,0,0,Wainani
Wainani G 208,0,0,Wainani
Wainani G 108,0,0,Wainani
Wainani G 305,1,3,Wainani
Wainani G 212,0,0,Wainani
Wainani G 207,0,0,Wainani
Wainani G 311,0,0,Wainani
Wainani G 202,0,1,Wainani
Wainani G 302,0,0,Wainani
Wainani G 304,0,0,Wainani
Wainani G 303,0,1,Wainani
Wainani G 310,0,0,Wainani
Wainani G 204,0,0,Wainani
Wainani G 201,0,0,Wainani
Wainani G 110,0,0,Wainani
Wainani G 105,0,0,Wainani
Wainani G 107,0,0,Wainani
Wainani G 109,0,0,Wainani
Athletics 247,0,0,Athletics
Athletics 246,0,0,Athletics
Wainani H 154,0,1,Wainani
Wainani F 703,4,7,Wainani
Anuenue 312,1,1,Anuenue
Anuenue 313,1,1,Anuenue
Anuenue 315,0,0,Anuenue
Anuenue 305,0,0,Anuenue
Anuenue 307,0,0,Anuenue
Anuenue 302,0,0,Anuenue
Anuenue 304,0,0,Anuenue
Anuenue 215,0,0,Anuenue
Anuenue 212,0,0,Anuenue
Anuenue 213,0,1,Anuenue
Anuenue 202,0,0,Anuenue
Anuenue 210,0,0,Anuenue
Anuenue 207,0,0,Anuenue
Anuenue 205,0,0,Anuenue
Anuenue 204,0,0,Anuenue
Anuenue 111,0,0,Anuenue
Anuenue 110,0,0,Anuenue
Anuenue 107,0,0,Anuenue
Anuenue 105,0,0,Anuenue
Anuenue 104,0,0,Anuenue
Lower Campus 4-7,0,0,Lower Campus
St John 011 Mauka,1,2,St. John
Parking Structure Storage Room,2,2,Parking Structure
Ilima 202LT,0,0,Ilima
Lehua 202T,2,3,Lehua
AgSci 220 Makai Ewa,0,1,Ag. Science
AgSci 204 Mauka Ewa,0,2,Ag. Science
CBA D105,0,0,Shidler CBA
CBA E202,0,0,Shidler CBA
CBA C103,0,0,Shidler CBA
CBA E203,0,0,Shidler CBA
Biomed T208,0,0,Biomed
Kamakakuokalani,0,0,Hawaiian Studies (Kamakakuokalani)
Kamakakuokalani Kanewai,0,0,Hawaiian Studies (Kamakakuokalani)
Stan Sheriff Court Lower JJ Tunnel,0,0,Stan Sheriff Center
Stan Sheriff Court Lower BB Tunnel,0,0,Stan Sheriff Center
Auxilliary Svcs 212A,0,0,Auxiliary Services
Auxilliary Svcs 201,1,1,Auxiliary Services
Auxilliary Svcs 203,0,0,Auxiliary Services
Auxilliary Svcs 202,1,1,Auxiliary Services
Auxilliary Svcs 200B,0,0,Auxiliary Services
Auxilliary Svcs 212,0,0,Auxiliary Services
Auxilliary Svcs 208,0,0,Auxiliary Services
Auxilliary Svcs 206,0,0,Auxiliary Services
Auxilliary Svcs 124,0,0,Auxiliary Services
Auxilliary Svcs 103,1,1,Auxiliary Services
Auxilliary Svcs 108A,0,0,Auxiliary Services
Auxilliary Svcs 102,1,1,Auxiliary Services
Campus Center 105A Dining,0,0,Campus Center
Campus Center 307,0,0,Campus Center
Campus Center 309,0,0,Campus Center
Campus Center 310,0,0,Campus Center
Campus Center 308,0,0,Campus Center
Campus Center 105C Dining,0,2,Campus Center
Campus Center 203D,0,0,Campus Center
Campus Center 204B Dining Makai,0,0,Campus Center
Crawford 115 Mauka,0,0,Crawford Hall
Crawford 115 DH,1,1,Crawford Hall
